personid,treatment,ordertaker,type,quitjob,age,costofcommute,children,male,married,perform_prior,perform_post,prior_experience,tenure,basewage,bonus,grosswage,ageyoungestchild,rental,bedroom,second_technical,high_school,tertiary_technical,university,internet,phonecalls_prior,phonecalls_post
37798,0,TRUE,1,0,21,0,0,1,0,-0.047367483,-0.587983131,1,12,1450,1806.777832,4099.766602,0,1,1,0,0,1,0,1,23.427,14.015
37804,1,FALSE,4,1,21,4,0,0,0,-0.023898713,-1.150274873,24,12,1450,735.111084,2499.76001,0,0,1,1,0,0,0,1,0,0
37812,0,FALSE,3,0,26,12,0,0,0,0.409759969,-0.045092311,30,12,1450,784.111084,2561.257813,0,0,1,0,0,1,0,1,0,0
37828,0,FALSE,5,0,23,10,0,1,0,-0.377791524,-0.491503596,60,12,1538.888916,1219.888916,3457.882324,0,0,1,1,0,0,0,1,0,0
37840,1,FALSE,3,1,18,0,0,1,0,-0.203798532,-0.343140632,0,12,1222.222168,578.666687,1987.459961,0,0,1,1,0,0,0,1,0,0
38018,1,FALSE,4,0,25,4,0,0,0,0.127828509,-0.793860495,36,78,1450,809.666687,2471.142334,0,0,1,1,0,0,0,1,0,0
38022,1,FALSE,3,1,18,0,0,0,0,-0.065893233,-0.675513268,0,11,1222.222168,652.333313,1992.843384,0,0,1,1,0,0,0,1,0,0
38028,1,FALSE,3,0,21,2,0,1,0,1.24080348,1.590185046,0,11,1450,2253.222168,4081.461182,0,0,1,0,0,1,0,1,0,0
38036,0,FALSE,4,1,18,10,0,1,0,-0.797213912,-1.523929834,0,11,1222.222168,527,1927.61438,0,0,1,1,0,0,0,1,0,0
38038,1,TRUE,1,0,35,0,1,1,1,-0.062686689,-0.32754755,180,11,1450,1468.777832,3750.578857,10,0,1,0,0,1,0,1,22.629,14.11
38040,1,FALSE,3,0,22,8,0,0,1,0.158419341,0.086254135,30,11,1450,613.222229,2419.506592,0,0,1,1,0,0,0,1,0,0
